=== run 2026-08-13T19:10:25  device=cuda  arm=ar  amp=bf16  compile=False ===
model: params=26.5M  dropout=0.1
data:  train_games=979951  val_games=20049  tokens/epoch=71.1M
sched: epochs=8.00  steps=20408  steps/epoch=2551  warmup=1020  eval_every=2000  tokens_seen=569M
step      0/20408  loss 7.6822  lr 5.88e-07  0.8s
step    100/20408  loss 6.1534  lr 5.94e-05  32.1s
step    200/20408  loss 5.3661  lr 1.18e-04  63.7s
step    300/20408  loss 4.8427  lr 1.77e-04  95.5s
step    400/20408  loss 4.4725  lr 2.36e-04  127.5s
step    500/20408  loss 4.0624  lr 2.95e-04  159.3s
step    600/20408  loss 3.7919  lr 3.54e-04  191.2s
step    700/20408  loss 3.5489  lr 4.12e-04  223.0s
step    800/20408  loss 3.4156  lr 4.71e-04  254.8s
step    900/20408  loss 3.2906  lr 5.30e-04  286.5s
step   1000/20408  loss 3.1405  lr 5.89e-04  318.3s
step   1100/20408  loss 3.0826  lr 6.00e-04  350.1s
step   1200/20408  loss 3.0349  lr 6.00e-04  381.9s
step   1300/20408  loss 2.9376  lr 6.00e-04  420.6s
step   1400/20408  loss 2.8387  lr 5.99e-04  473.4s
step   1500/20408  loss 2.7876  lr 5.99e-04  512.6s
step   1600/20408  loss 2.7595  lr 5.99e-04  544.4s
step   1700/20408  loss 2.7176  lr 5.98e-04  599.0s
step   1800/20408  loss 2.7012  lr 5.98e-04  630.9s
step   1900/20408  loss 2.6769  lr 5.97e-04  662.8s
  [eval] step 2000  val_loss 2.4772  train_loss 2.6028  *best*  [saved]
step   2000/20408  loss 2.6105  lr 5.97e-04  714.9s
step   2100/20408  loss 2.5565  lr 5.96e-04  746.6s
step   2200/20408  loss 2.5269  lr 5.95e-04  800.3s
step   2300/20408  loss 2.4941  lr 5.94e-04  853.2s
step   2400/20408  loss 2.5348  lr 5.93e-04  885.2s
step   2500/20408  loss 2.4528  lr 5.92e-04  917.2s
step   2600/20408  loss 2.4167  lr 5.91e-04  949.4s
step   2700/20408  loss 2.4253  lr 5.90e-04  981.2s
step   2800/20408  loss 2.3835  lr 5.89e-04  1060.8s
step   2900/20408  loss 2.3827  lr 5.88e-04  1092.7s
step   3000/20408  loss 2.3247  lr 5.86e-04  1143.1s
step   3100/20408  loss 2.3622  lr 5.85e-04  1175.1s
step   3200/20408  loss 2.3539  lr 5.83e-04  1207.0s
step   3300/20408  loss 2.3269  lr 5.82e-04  1238.8s
step   3400/20408  loss 2.3053  lr 5.80e-04  1320.1s
step   3500/20408  loss 2.3051  lr 5.78e-04  1352.1s
step   3600/20408  loss 2.3083  lr 5.77e-04  1384.2s
step   3700/20408  loss 2.2483  lr 5.75e-04  1416.1s
step   3800/20408  loss 2.2978  lr 5.73e-04  1448.1s
step   3900/20408  loss 2.2504  lr 5.71e-04  1532.1s
  [eval] step 4000  val_loss 2.1445  train_loss 2.2479  *best*  [saved]
step   4000/20408  loss 2.2364  lr 5.69e-04  1602.5s
step   4100/20408  loss 2.2214  lr 5.67e-04  1634.6s
step   4200/20408  loss 2.2192  lr 5.65e-04  1666.6s
step   4300/20408  loss 2.1922  lr 5.63e-04  1753.9s
step   4400/20408  loss 2.1931  lr 5.61e-04  1793.2s
step   4500/20408  loss 2.1690  lr 5.58e-04  1825.2s
step   4600/20408  loss 2.1843  lr 5.56e-04  1857.2s
step   4700/20408  loss 2.1511  lr 5.53e-04  1889.0s
step   4800/20408  loss 2.1374  lr 5.51e-04  1920.9s
step   4900/20408  loss 2.1796  lr 5.48e-04  1952.8s
step   5000/20408  loss 2.1572  lr 5.46e-04  2035.3s
step   5100/20408  loss 2.1255  lr 5.43e-04  2070.7s
step   5200/20408  loss 2.0970  lr 5.40e-04  2103.0s
step   5300/20408  loss 2.1097  lr 5.38e-04  2134.9s
step   5400/20408  loss 2.0810  lr 5.35e-04  2166.9s
step   5500/20408  loss 2.0779  lr 5.32e-04  2198.8s
step   5600/20408  loss 2.0697  lr 5.29e-04  2230.6s
step   5700/20408  loss 2.0576  lr 5.26e-04  2262.5s
step   5800/20408  loss 2.0734  lr 5.23e-04  2294.3s
step   5900/20408  loss 2.0603  lr 5.20e-04  2326.2s
  [eval] step 6000  val_loss 1.9925  train_loss 2.0410  *best*  [saved]
step   6000/20408  loss 2.0586  lr 5.17e-04  2362.6s
step   6100/20408  loss 2.0531  lr 5.14e-04  2394.5s
step   6200/20408  loss 2.0569  lr 5.10e-04  2435.3s
step   6300/20408  loss 2.0289  lr 5.07e-04  2492.6s
step   6400/20408  loss 2.0631  lr 5.04e-04  2524.3s
step   6500/20408  loss 2.0403  lr 5.00e-04  2556.1s
step   6600/20408  loss 2.0318  lr 4.97e-04  2587.9s
step   6700/20408  loss 2.0043  lr 4.93e-04  2619.8s
step   6800/20408  loss 2.0442  lr 4.90e-04  2651.7s
step   6900/20408  loss 2.0310  lr 4.86e-04  2683.5s
step   7000/20408  loss 1.9979  lr 4.83e-04  2715.4s
step   7100/20408  loss 1.9957  lr 4.79e-04  2747.3s
step   7200/20408  loss 2.0201  lr 4.76e-04  2779.1s
step   7300/20408  loss 1.9932  lr 4.72e-04  2811.0s
step   7400/20408  loss 1.9829  lr 4.68e-04  2842.8s
step   7500/20408  loss 1.9963  lr 4.64e-04  2891.6s
step   7600/20408  loss 1.9770  lr 4.61e-04  2923.4s
step   7700/20408  loss 1.9235  lr 4.57e-04  2964.3s
step   7800/20408  loss 1.9477  lr 4.53e-04  2996.2s
step   7900/20408  loss 1.9475  lr 4.49e-04  3063.7s
  [eval] step 8000  val_loss 1.9076  train_loss 1.9484  *best*  [saved]
step   8000/20408  loss 1.9653  lr 4.45e-04  3100.3s
step   8100/20408  loss 1.9803  lr 4.41e-04  3132.3s
step   8200/20408  loss 1.9489  lr 4.37e-04  3164.2s
step   8300/20408  loss 1.9335  lr 4.33e-04  3196.0s
step   8400/20408  loss 1.9590  lr 4.29e-04  3227.9s
step   8500/20408  loss 1.9182  lr 4.25e-04  3259.8s
step   8600/20408  loss 1.9436  lr 4.21e-04  3291.6s
step   8700/20408  loss 1.9142  lr 4.17e-04  3323.4s
step   8800/20408  loss 1.9348  lr 4.12e-04  3355.3s
step   8900/20408  loss 1.9294  lr 4.08e-04  3387.1s
step   9000/20408  loss 1.9289  lr 4.04e-04  3418.9s
step   9100/20408  loss 1.9198  lr 4.00e-04  3450.7s
step   9200/20408  loss 1.9524  lr 3.96e-04  3482.6s
step   9300/20408  loss 1.9130  lr 3.91e-04  3514.4s
step   9400/20408  loss 1.9134  lr 3.87e-04  3546.2s
step   9500/20408  loss 1.9276  lr 3.83e-04  3578.0s
step   9600/20408  loss 1.9381  lr 3.78e-04  3614.3s
step   9700/20408  loss 1.9098  lr 3.74e-04  3646.0s
step   9800/20408  loss 1.9291  lr 3.70e-04  3677.8s
step   9900/20408  loss 1.9065  lr 3.66e-04  3715.0s
  [eval] step 10000  val_loss 1.8526  train_loss 1.9051  *best*  [saved]
step  10000/20408  loss 1.9134  lr 3.61e-04  3884.2s
step  10100/20408  loss 1.8961  lr 3.57e-04  3915.8s
step  10200/20408  loss 1.9115  lr 3.52e-04  3984.6s
step  10300/20408  loss 1.8688  lr 3.48e-04  4016.9s
step  10400/20408  loss 1.8594  lr 3.44e-04  4065.4s
step  10500/20408  loss 1.8683  lr 3.39e-04  4097.3s
step  10600/20408  loss 1.8658  lr 3.35e-04  4131.5s
step  10700/20408  loss 1.8507  lr 3.31e-04  4163.4s
step  10800/20408  loss 1.8838  lr 3.26e-04  4210.5s
step  10900/20408  loss 1.8303  lr 3.22e-04  4242.3s
step  11000/20408  loss 1.8627  lr 3.17e-04  4310.5s
step  11100/20408  loss 1.8453  lr 3.13e-04  4342.4s
step  11200/20408  loss 1.8684  lr 3.09e-04  4374.3s
step  11300/20408  loss 1.8505  lr 3.04e-04  4406.3s
step  11400/20408  loss 1.8559  lr 3.00e-04  4438.2s
step  11500/20408  loss 1.8580  lr 2.96e-04  4470.1s
step  11600/20408  loss 1.8232  lr 2.91e-04  4501.9s
step  11700/20408  loss 1.8259  lr 2.87e-04  4533.8s
step  11800/20408  loss 1.8535  lr 2.83e-04  4584.7s
step  11900/20408  loss 1.8448  lr 2.78e-04  4618.1s
  [eval] step 12000  val_loss 1.8085  train_loss 1.8591  *best*  [saved]
step  12000/20408  loss 1.8400  lr 2.74e-04  4654.5s
step  12100/20408  loss 1.8402  lr 2.70e-04  4686.4s
step  12200/20408  loss 1.8240  lr 2.66e-04  4718.2s
step  12300/20408  loss 1.8371  lr 2.61e-04  4750.0s
step  12400/20408  loss 1.8236  lr 2.57e-04  4781.8s
step  12500/20408  loss 1.8411  lr 2.53e-04  4813.6s
step  12600/20408  loss 1.8266  lr 2.49e-04  4845.4s
step  12700/20408  loss 1.8324  lr 2.45e-04  4877.2s
step  12800/20408  loss 1.7835  lr 2.40e-04  4909.2s
step  12900/20408  loss 1.8088  lr 2.36e-04  5013.2s
step  13000/20408  loss 1.8169  lr 2.32e-04  5051.2s
step  13100/20408  loss 1.7976  lr 2.28e-04  5083.2s
step  13200/20408  loss 1.7998  lr 2.24e-04  5115.1s
step  13300/20408  loss 1.8068  lr 2.20e-04  5147.0s
